Season,Week,Spread,Total,Under,Distance
2015,5,-6.0,42.5,0,0.0
2019,6,-6.0,42.5,1,0.0
2016,15,-6.0,43.0,1,0.5
2024,7,-6.5,42.5,0,0.5
2015,14,-6.5,42.5,1,0.5
2016,11,-6.5,42.5,1,0.5
2015,10,-6.5,42.5,0,0.5
