Season,Week,Spread,Total,Under,Distance
2024,10,6.5,40.5,1,0.5
2024,4,7.0,41.0,1,0.5
2017,15,7.5,40.5,0,0.5
2024,11,7.0,41.0,0,0.5
2022,13,7.0,41.0,0,0.5
2019,1,7.0,41.0,0,0.5
2018,6,7.5,40.5,0,0.5
