Season,Week,Spread,Total,Under,Distance
2015,17,3.5,37.5,1,0.0
2023,16,4.0,37.5,0,0.5
2016,14,3.0,38.0,0,0.7071067811865476
2017,3,3.0,38.0,0,0.7071067811865476
2023,18,4.0,37.0,1,0.7071067811865476
2024,2,3.0,38.0,0,0.7071067811865476
2024,12,3.5,36.5,0,1.0
