Season,Week,Spread,Total,Under,Distance
2020,9,1.0,52.5,0,0.5
2019,2,1.0,53.0,1,0.7071067811865476
2017,15,2.5,52.5,1,1.0
2022,13,2.5,53.0,1,1.118033988749895
2020,14,2.5,52.0,0,1.118033988749895
2021,10,2.5,52.0,0,1.118033988749895
2022,1,2.5,52.0,1,1.118033988749895
