Season,Week,Spread,Total,Under,Distance
2017,6,-13.5,37.5,1,1.0
2025,16,-14.0,38.5,0,1.118033988749895
2017,17,-13.5,38.5,1,1.4142135623730951
2023,9,-13.5,38.5,1,1.4142135623730951
2016,15,-15.0,39.5,1,2.0615528128088303
2022,18,-14.0,39.5,0,2.0615528128088303
2018,17,-14.0,39.5,0,2.0615528128088303
