Season,Week,Spread,Total,Under,Distance
2022,15,-3.5,47.5,0,0.0
2022,5,-3.5,47.5,1,0.0
2022,4,-3.5,47.5,1,0.0
2016,9,-3.5,47.5,0,0.0
2016,2,-4.0,47.5,0,0.5
2016,5,-4.0,47.5,0,0.5
2016,3,-3.5,47.0,0,0.5
