Season,Week,Spread,Total,Under,Distance
2015,8,-7.0,48.5,1,0.0
2020,1,-7.0,48.5,1,0.0
2016,5,-7.0,49.0,1,0.5
2025,5,-7.0,48.0,1,0.5
2020,16,-6.5,48.5,0,0.5
2018,4,-7.5,48.5,0,0.5
2021,1,-6.5,48.5,1,0.5
