Season,Week,Spread,Total,Under,Distance
2018,5,-6.5,47.5,1,0.0
2024,17,-6.5,47.5,1,0.0
2016,14,-6.5,47.5,1,0.0
2017,3,-7.0,47.5,0,0.5
2019,10,-6.5,47.0,0,0.5
2023,6,-7.0,47.5,1,0.5
2024,14,-6.5,47.0,1,0.5
