Season,Week,Spread,Total,Under,Distance
2021,11,3.5,44.5,1,0.0
2020,10,3.5,44.5,1,0.0
2022,10,4.0,44.5,0,0.5
2015,6,3.5,45.0,1,0.5
2020,5,3.5,44.0,1,0.5
2015,14,3.5,45.0,1,0.5
2021,16,3.5,44.0,1,0.5
