Season,Week,Spread,Total,Under,Distance
2020,16,7.0,47.5,1,0.0
2018,1,6.5,47.5,1,0.5
2019,13,7.0,48.0,1,0.5
2021,11,7.0,47.0,1,0.5
2024,16,6.5,47.5,0,0.5
2015,16,6.5,47.5,1,0.5
2024,6,6.5,47.0,0,0.7071067811865476
