Season,Week,Spread,Total,Under,Distance
2024,10,-6.0,53.5,0,0.5
2016,12,-5.5,53.0,0,0.5
2018,3,-5.5,53.0,0,0.5
2025,7,-6.0,53.0,1,0.7071067811865476
2021,1,-5.5,54.5,0,1.0
2015,17,-5.5,52.5,1,1.0
2018,16,-6.5,53.0,0,1.118033988749895
