Season,Week,Spread,Total,Under,Distance
2023,8,-7.0,45.5,1,0.0
2021,3,-7.0,45.5,0,0.0
2016,6,-7.0,45.5,1,0.0
2016,6,-7.0,45.5,0,0.0
2019,16,-7.0,45.5,0,0.0
2017,6,-7.0,46.0,0,0.5
2015,17,-6.5,45.5,1,0.5
