Season,Week,Spread,Total,Under,Distance
2019,12,5.5,37.5,1,0.0
2019,13,5.5,37.5,0,0.0
2017,12,6.0,37.5,0,0.5
2016,2,5.5,38.0,1,0.5
2023,14,6.0,37.0,0,0.7071067811865476
2022,1,6.0,38.0,1,0.7071067811865476
2024,2,5.0,38.5,1,1.118033988749895
