Season,Week,Spread,Total,Under,Distance
2024,5,3.0,48.5,1,0.0
2024,11,3.0,48.5,1,0.0
2025,6,3.0,48.5,0,0.0
2016,10,3.0,48.5,0,0.0
2025,4,2.5,48.5,0,0.5
2022,12,2.5,48.5,0,0.5
2016,4,2.5,48.5,0,0.5
