Season,Week,Spread,Total,Under,Distance
2017,7,2.5,39.5,1,0.0
2016,15,2.5,40.0,0,0.5
2023,2,2.5,39.0,0,0.5
2016,1,2.5,40.0,0,0.5
2017,9,2.5,39.0,1,0.5
2022,8,2.5,40.0,1,0.5
2018,8,2.5,40.0,1,0.5
